Time (s);Magnetic Field x (µT);Magnetic Field y (µT);Magnetic Field z (µT);Absolute field (µT)
0,988880208;-50,47796631;-32,58355713;2,54447937;60,13474581
0,998812208;-50,41226196;-32,8449707;2,581863403;60,22336984
1,008743208;-50,34512329;-32,86351013;2,304122925;60,16602629
1,018675208;-50,13442993;-32,96951294;2,535202026;60,0572818
1,028607208;-49,94430542;-32,76163483;2,142166138;59,76911607
1,038538208;-50,28408813;-32,97909546;2,845916748;60,20140778
1,048470208;-50,21954346;-32,66065979;2,335449219;59,9514434
1,058402208;-50,31713867;-33,18064117;2,42616272;60,32127036
1,068334208;-50,23626709;-32,90879059;2,476074219;60,10658843
1,078265208;-50,2677002;-33,16986847;2,534698486;60,27857458
1,088197208;-50,14404297;-32,7843399;2,361953735;59,95679122
1,098129208;-50,57357788;-33,04949188;2,440444946;60,46413371
1,108060208;-50,18002319;-32,9860611;2,172637939;60,09022641
1,117992208;-50,36447144;-33,42917633;2,248062134;60,49085548
1,127924208;-50,03701782;-32,84008026;2,397903442;59,89928184
1,137855208;-50,37173462;-33,06658936;2,858337402;60,32313878
1,147787208;-50,2272644;-32,59636688;2,570083618;59,93251666
1,157719208;-50,24627686;-32,83162689;2,313156128;60,06625303
1,167650208;-50,1321106;-32,6060257;2,241836548;59,84485989
1,177582208;-50,37219238;-32,77043152;2,444000244;60,14342927
1,187514208;-49,99932861;-32,81569672;1,93296814;59,83760673
1,197444708;-50,08874512;-33,18476868;2,452224731;60,13422208
1,207376708;-50,15042114;-32,74678802;2,106307983;59,93207322
1,217308708;-50,29788208;-33,07328796;2,570602417;60,2521976
1,227240708;-50,24221802;-32,68073273;2,061935425;59,971346
1,237171708;-50,4274292;-32,93652344;2,310348511;60,27501889
1,247103708;-50,16470337;-32,77581024;2,457000732;59,97322781
1,257035708;-50,24981689;-32,9187851;2,218551636;60,11333031
1,266966708;-49,97793579;-32,63399506;2,294250488;59,73303345
1,276898708;-50,2618103;-33,17633057;2,191848755;60,2637759
1,286830708;-50,06484985;-32,48571014;2,03086853;59,71545011
1,296761708;-50,3112793;-32,97489166;2,086608887;60,19071557
1,306693708;-50,11203003;-32,76657104;2,30657959;59,91814451
1,316625708;-50,13009644;-33,03800201;2,624053955;60,09510633
1,326556708;-49,99136353;-32,78209686;2,39692688;59,82932024
1,336488708;-50,0960083;-33,30199432;2,766540527;60,21865674
1,346420708;-49,9487915;-32,66905975;2,44303894;59,73372311
1,356352708;-50,32290649;-32,91744995;2,674697876;60,19225397
1,366283708;-50,04989624;-32,60844421;2,129974365;59,7732343
1,376215708;-50,20092773;-32,966362;2,416381836;60,10618163
1,386147708;-50,1920166;-32,66651154;2,518936157;59,93900688
1,396078708;-50,4677124;-33,34318542;2,599349976;60,5434937
1,406010708;-50,14398193;-33,08681488;2,288040161;60,11980847
1,415942708;-50,20571899;-33,19072723;2,303100586;60,22908655
1,425873708;-50,0145874;-32,75666046;1,885375977;59,81648937
1,435805708;-50,31311035;-32,90565491;2,125961304;60,15572217
1,445737708;-49,92337036;-32,74338531;1,823303223;59,73103569
1,455668708;-50,19073486;-33,24529266;2,163711548;60,24152221
1,465600708;-50,02893066;-32,70587921;2,433822632;59,82049758
1,475532708;-50,29592896;-33,03988647;2,761489868;60,2406872
1,485464708;-49,79318237;-32,69836426;2,463134766;59,62055911
1,495395708;-50,33087158;-33,16174316;2,811630249;60,33906785
1,505327708;-50,07009888;-32,61481476;2,42829895;59,80499627
1,515259708;-50,26626587;-32,89513397;2,939117432;60,14503915
1,525190708;-50,1038208;-32,72209167;1,866409302;59,87162622
1,535122708;-50,36218262;-33,22074127;2,185455322;60,37170946
1,545054708;-49,94610596;-32,88381958;2,034133911;59,83391004
1,554985708;-50,36328125;-33,24655151;2,270874023;60,38998389
1,564917708;-50,32977295;-32,85164642;1,931381226;60,13357591
1,574849708;-50,49404907;-33,15950012;2,038925171;60,44301991
1,584780708;-50,1121521;-32,75141907;1,412628174;59,88220735
1,594712708;-50,48934937;-33,16593933;2,193557739;60,44804072
1,604644708;-50,06124878;-32,6727066;2,035766602;59,81453612
1,614575708;-50,06124878;-32,6727066;2,035766602;59,81453612
1,624507708;-50,39321899;-33,08252716;2,663146973;60,34088561
1,634439708;-50,11676025;-32,64867401;2,149291992;59,85185903
1,644371708;-50,45959473;-33,17121124;2,381622314;60,43320346
1,654302708;-50,21035767;-32,52024841;1,852294922;59,85046007
1,664234708;-50,37347412;-33,09669495;2,325927734;60,31822321
1,674166708;-50,25344849;-32,68462372;2,455703735;59,99770157
1,684097708;-50,45974731;-33,11872101;2,422058105;60,40614328
1,694029708;-50,08856201;-32,59739685;2,191940308;59,80183047
1,703961708;-50,28967285;-33,072052;2,499786377;60,24168616
1,713892708;-50,17098999;-32,50270081;2,29335022;59,82318323
1,723824708;-50,57891846;-32,8837204;2,432922363;60,37785331
1,733756708;-50,13293457;-32,62255859;2,520111084;59,86562802
1,743687708;-50,38473511;-33,0700531;2,506835938;60,32026335
1,753619708;-50,01806641;-32,59397888;2,004486084;59,7343485
1,763551708;-50,29656982;-32,87055969;2,191207886;60,12503657
1,773482708;-50,06884766;-32,52262878;1,725570679;59,72929334
1,783414708;-50,33804321;-32,86027527;2,741989136;60,1766964
1,793346708;-50,18618774;-32,44802856;2,535003662;59,81600322
1,803278708;-50,07775879;-32,91379547;2,550125122;59,98002164
1,813209708;-50,00610352;-32,40100861;2,207839966;59,62642287
1,823141708;-50,32904053;-32,79364777;2,453308105;60,12033246
1,833073708;-50,01989746;-32,47205353;2,136627197;59,67402767
1,843004708;-50,17617798;-32,57067871;2,43901062;59,87024905
1,852936708;-49,9694519;-32,41216278;2,149688721;59,59962736
1,862868708;-50,16210938;-32,84549713;2,265487671;60,00163609
1,872799708;-50,05328369;-32,38402557;2,079742432;59,65217221
1,882731708;-50,57861328;-32,8955307;2,171051025;60,37404678
1,892663708;-50,28643799;-32,65723419;1,523101807;59,97950175
1,902594708;-50,40866089;-33,1437149;2,109558105;60,36546335
1,912526708;-50,44827271;-32,80610657;1,803390503;60,20399542
