Time (s);Magnetic Field x (µT);Magnetic Field y (µT);Magnetic Field z (µT);Absolute field (µT)
0,886019708;-25,61159325;43,28895569;7,379430771;50,83643764
0,896083708;-26,07005501;43,4434967;7,70747757;51,2483208
0,906147708;-25,89449883;43,28829956;7,38293457;50,97950246
0,916211708;-26,08501244;43,21346283;7,759233475;51,06894308
0,926275708;-25,99926949;43,01616669;7,752128601;50,85713429
0,936339708;-26,1818676;43,37630844;7,96412468;51,287636
0,946403708;-25,81868935;43,30930328;7,745513916;51,01267937
0,956467708;-26,41242027;43,34885406;7,800281525;51,35740925
0,966530708;-26,09681892;43,33559036;7,275953293;51,10730717
0,976594708;-26,39706993;43,28281403;7,598011017;51,26340861
0,986658708;-26,27012062;43,25770569;7,240304947;51,12504626
0,996722708;-26,16605949;43,26659775;7,629018784;51,13573191
1,006786708;-26,24292564;43,3276062;7,409431458;51,19445556
1,016850708;-26,28038216;43,48726654;7,737880707;51,39723373
1,026914708;-26,25628471;43,21742249;7,533037186;51,12616495
1,036978708;-26,68393898;43,2990799;7,719015121;51,44342634
1,047041708;-26,35753059;43,23681641;7,652000427;51,21225266
1,057105708;-26,30216026;43,24412537;7,585956573;51,18012066
1,067169708;-26,11948204;43,48466492;7,275865555;51,24530851
1,077233708;-26,25216866;43,65311432;7,248228073;51,45199276
1,087297708;-25,889925;43,35126495;7,336750031;51,0239972
1,097361708;-26,12135887;43,49398041;7,643718719;51,30768127
1,107425708;-25,96738243;43,25887299;7,609666824;51,02491618
1,117489708;-26,4401989;43,60473633;7,851545334;51,59558035
1,127553708;-26,06461143;43,38609314;7,679491043;51,19269118
1,137616708;-26,17147255;43,67349625;7,708202362;51,49501562
1,147680708;-26,02462959;43,38054657;7,701778412;51,17099332
1,157744708;-26,29872322;43,6801033;7,579874039;51,54637483
1,167808708;-26,16505241;43,64449692;7,91815567;51,49902201
1,177872708;-26,39080238;43,69630051;7,718982697;51,62774276
1,187936708;-26,14644814;43,63344574;7,736339569;51,45255375
1,198000708;-26,25690651;43,7115593;7,601760864;51,55494471
1,208063708;-25,8817234;43,3006897;7,764280319;51,04015462
1,218127708;-26,06750298;43,36811066;7,75283432;51,18998118
1,228191708;-25,98199654;43,26289368;7,523462296;51,02298108
1,238255708;-26,03655052;43,32675934;7,575101852;51,11254451
1,248319708;-26,17735863;43,01869965;7,725048065;50,94643257
1,258383708;-26,18453407;43,25925446;7,475820541;51,11634585
1,268447708;-25,83073616;42,94534302;7,679151535;50,70008664
1,278511708;-26,36551476;43,25863647;7,81803894;51,25984521
1,288575708;-26,15019035;43,54024124;7,465084076;51,3352953
1,298638708;-26,31545448;43,61175537;7,664054871;51,50947571
1,308702708;-25,85836983;43,302742;7,154701233;50,94087264
1,318766708;-26,38620567;43,66770554;7,281488419;51,53756329
1,328830708;-26,57871437;43,57241821;7,38253212;51,57019941
1,338894708;-26,1094799;43,80430222;7,289403915;51,51366074
1,348958708;-26,32263374;43,50685883;7,258707047;51,36551995
1,359022708;-26,27768898;43,33757401;7,448804855;51,22642826
1,369086708;-26,31983376;43,30651855;7,527534485;51,23330922
1,379149708;-26,29925728;43,19049835;7,210947037;51,07903521
1,389213708;-26,53935814;43,39725876;7,506875992;51,41996485
1,399277708;-26,28985405;43,22940063;7,1743927;51,10195119
1,409341708;-26,14327049;43,32870865;7,525344849;51,16129788
1,419405708;-26,36138725;43,22485733;7,392412186;51,16599249
1,429469708;-26,46957207;43,51232147;7,597436905;51,49447944
1,439533708;-26,05781746;43,21047211;7,607290268;51,02965428
1,449597708;-26,28499413;43,29665375;7,310569763;51,17563456
1,459660708;-26,04172325;43,30285263;7,53134346;51,08844811
1,469724708;-26,10976601;43,53189087;7,638256073;51,33311173
1,479788708;-26,18236732;43,53354645;7,365034103;51,33156682
1,489852708;-26,30312157;43,34444809;7,547357559;51,25971118
1,499916708;-26,30859184;43,15577316;7,379444122;51,07855673
1,509980708;-26,24722099;43,37082672;7,665945053;51,2709658
1,520044708;-26,05145073;43,18247223;7,55755806;50,99530054
1,530108708;-26,24075127;43,31035233;7,448049545;51,18434417
1,540171708;-26,16340828;43,39045715;7,580307007;51,23198961
1,550235708;-26,2450428;43,21111298;7,213346481;51,06892327
1,560299708;-25,84644127;43,20661545;7,46541214;50,8977654
1,570363708;-26,11580849;43,34623718;7,563579559;51,16775808
1,580427708;-25,86783028;43,50146866;7,2445755;51,12735367
1,590491708;-25,98412514;43,65193939;7,788211823;51,39380133
1,600555708;-25,88084984;43,50582886;7,376012802;51,1564375
1,610619708;-26,21562386;43,2334671;7,370641708;51,0951854
1,620682708;-26,22744179;43,29481506;7,511816025;51,17369533
1,630746708;-26,49469948;43,4413681;7,691665649;51,46147378
1,640810708;-26,32082939;43,42794037;7,66258812;51,35647302
1,650874708;-26,33316231;43,34658432;7,480289459;51,26710973
1,660938708;-26,2107563;43,21148682;7,564823151;51,10247438
1,671002708;-26,28508949;43,53367615;7,397764206;51,38884902
1,681066708;-26,14769936;43,33718109;7,59627533;51,18121575
1,691130708;-26,17915916;43,58761597;7,665752411;51,41976663
1,701193708;-26,19638634;43,4696846;7,616821289;51,32134159
1,711257792;-26,21806908;43,37187958;7,65827179;51,25579198
1,721321792;-26,1197834;43,28436661;7,327514648;51,08299079
1,731385792;-26,30634499;43,26937103;7,260231018;51,15636041
1,741449792;-26,30842018;43,23527908;7,182069778;51,11755526
1,751513792;-26,36510658;43,30908585;7,710950851;51,28600711
1,761577792;-26,14288902;43,45998001;7,348871231;51,24672104
1,771641792;-26,09095192;43,41093826;7,653095245;51,22320958
1,781704792;-25,94478798;43,63657379;7,239412308;51,28051956
1,791768792;-25,97811317;43,25665283;7,578268051;51,02382311
1,801832792;-26,1696682;43,21081161;7,35559082;51,05027415
1,811896792;-26,14038277;43,51677322;7,472723007;51,31150702
1,821960792;-25,98636436;43,5017128;7,202888489;51,18175214
1,832024792;-26,13635445;43,33795166;7,747234344;51,1986984
1,842088792;-25,97928047;43,33625412;7,299324036;51,05128859
1,852152792;-25,95509529;43,40865707;7,458967209;51,12352367
1,862215792;-26,02099037;43,21910858;7,909692764;51,06414129
1,872279792;-26,24176598;43,53255081;7,399093628;51,36594055
1,882343792;-26,16895866;43,24795151;7,367559433;51,08307586
1,892407792;-26,19248009;43,17772675;7,564865112;51,06455996
1,902471792;-26,16605568;43,14070892;7,313581467;50,98305317
1,912535792;-26,13362312;43,26115417;7,710840225;51,12681073
1,922599792;-26,20530128;43,15723038;7,523658752;51,04772072
1,932663792;-26,30091286;43,21596146;7,196393967;51,09936817
1,942726792;-26,2001133;43,26871109;7,278366089;51,10383458
1,952790792;-26,27628517;43,53823853;7,163455963;51,35500441
1,962854792;-26,26035881;43,20277405;7,346113205;51,08866322
1,972918792;-26,33257484;43,41798782;7,621015549;51,34789229
1,982982792;-26,21674538;43,26577759;7,531322479;51,14651568
1,993046792;-26,10707283;43,25997543;7,480524063;51,07800864
2,003110792;-26,15067863;43,24010468;7,253761292;51,05077569
2,013174792;-26,19305229;43,16989136;7,286943436;51,01779153
2,023237792;-26,19060326;43,24562073;7,022525787;51,04358216
2,033301792;-26,27739906;43,2431488;7,149927139;51,10374818
2,043365792;-26,20078087;43,52360916;7,101411819;51,29537525
2,053429792;-26,29050255;43,51953888;7,170740128;51,34744689
2,063493792;-26,15252876;43,62637329;7,186170578;51,36979905
2,073557792;-26,23156548;43,55515289;7,435571671;51,38515444
2,083621792;-26,02091789;43,26570511;7,378160477;51,02398121
2,093685792;-25,87420464;43,09766769;7,803033829;50,87013626
2,103748792;-26,00007439;43,36678696;7,820516586;51,16485668
2,113812792;-26,14011192;43,31546783;7,725971222;51,17837274
2,123876792;-26,13341331;43,48264694;7,169473648;51,23570268
2,133940792;-26,21225166;43,56156921;7,664783478;51,41440805
2,144004792;-26,30092812;43,53647614;7,950956345;51,4818539
2,154068792;-26,24421883;43,47452927;7,74580574;51,36916608
2,164132792;-26,02363396;43,55090332;7,645391464;51,30655626
2,174196792;-26,11737633;43,65998077;7,638502121;51,44567992
2,184259792;-26,18218803;43,62379456;7,623125076;51,44564566
2,194323792;-26,24809456;43,65221405;7,52845192;51,48937607
2,204387792;-26,10492516;43,52799225;7,321960449;51,28122787
2,214451792;-26,2944088;43,32035828;7,363214493;51,20806873
2,224515792;-26,09867668;43,30126953;7,047399521;51,04710283
2,234579792;-26,36876869;43,29950714;7,293117523;51,21863766
2,244643792;-26,23074532;43,58000565;7,757806778;51,45340084
2,254707792;-26,33813286;43,73019028;7,544569016;51,60375283
2,264771792;-26,27298164;43,49604034;7,386432648;51,34914291
2,274834792;-26,33019829;43,40502167;7,263366699;51,28383511
2,284898792;-26,28274345;43,521595;7,524393082;51,39580067
2,294962792;-26,48972893;43,5433197;7,737688065;51,55189857
2,305026792;-26,3496418;43,61014175;7,72634697;51,53488648
2,315090792;-26,59733009;43,26415253;7,725608826;51,37012647
2,325154792;-26,43246651;43,55527115;7,593490601;51,51114472
2,335218792;-26,34752464;43,55254364;7,559850693;51,46034837
2,345282792;-26,52837181;43,58268356;7,581594467;51,581832
2,355345792;-26,70949364;43,47701263;7,500606537;51,57428406
2,365409792;-26,25341606;43,50019836;7,443422318;51,35088751
2,375473792;-26,31698799;43,88886642;7,601280212;51,73582814
